;XOVIS_TIME;UWB_TIME;UWB_X;UWB_Y;XOVIS_X;XOVIS_Y;XOVIS_PERSON_ID
0;1557995046707;1557995046685;961;1981;263;178;27966
1;1557995046907;1557995046685;961;1981;263;178;27966
2;1557995047226;1557995047057;926;2247;263;178;27966
3;1557995047412;1557995047237;955;1997;263;178;27966
4;1557995047706;1557995047609;918;1988;263;178;27966
5;1557995048012;1557995047974;948;2209;263;177;27966
6;1557995048215;1557995048157;925;1977;264;177;27966
7;1557995048511;1557995048342;932;2240;264;176;27966
8;1557995048716;1557995048700;929;1986;264;176;27966
9;1557995048911;1557995048880;942;2232;263;175;27966
10;1557995049223;1557995049060;911;2021;264;176;27966
11;1557995049414;1557995049252;950;2227;264;176;27966
12;1557995049710;1557995049615;958;2000;264;175;27966
13;1557995049912;1557995049615;958;2000;264;176;27966
14;1557995050258;1557995050168;1007;2212;263;175;27966
15;1557995050414;1557995050346;960;2206;263;175;27966
16;1557995050712;1557995050346;960;2206;263;176;27966
17;1557995050914;1557995050898;929;2242;263;175;27966
18;1557995051223;1557995051079;946;1965;263;176;27966
19;1557995051413;1557995051259;965;2198;263;176;27966
20;1557995051707;1557995051439;967;2218;263;177;27966
21;1557995051908;1557995051813;973;2180;264;177;27966
22;1557995052206;1557995052173;985;1999;265;179;27966
23;1557995052425;1557995052357;957;2004;265;180;27966
24;1557995052712;1557995052537;962;2217;265;180;27966
25;1557995052912;1557995052908;978;2217;265;180;27966
26;1557995053224;1557995053089;960;2012;264;180;27966
27;1557995053419;1557995053089;960;2012;265;180;27966
28;1557995053709;1557995053641;918;2214;265;180;27966
29;1557995053913;1557995053822;955;2146;265;180;27966
30;1557995054216;1557995054194;911;2167;264;180;27966
31;1557995054411;1557995054374;909;2209;264;180;27966
32;1557995054710;1557995054567;906;2247;265;179;27966
33;1557995054914;1557995054747;912;2029;265;178;27966
34;1557995055222;1557995055111;920;2246;265;178;27966
35;1557995055448;1557995055292;914;2216;265;177;27966
36;1557995055715;1557995055664;931;2234;265;177;27966
37;1557995055911;1557995055843;899;2218;265;177;27966
38;1557995056212;1557995056204;933;2227;265;177;27966
39;1557995056512;1557995056204;933;2227;265;177;27966
40;1557995056714;1557995056577;936;2032;265;177;27966
41;1557995057011;1557995056937;959;2218;265;176;27966
42;1557995057245;1557995056937;959;2218;265;175;27966
43;1557995057409;1557995057309;920;2055;265;176;27966
44;1557995057705;1557995057680;941;2199;265;176;27966
45;1557995057908;1557995057680;941;2199;265;176;27966
46;1557995058214;1557995058041;915;2064;265;177;27966
47;1557995058413;1557995058221;921;2144;265;177;27966
48;1557995058710;1557995058591;897;2055;265;176;27966
49;1557995058911;1557995058771;913;2086;264;176;27966
50;1557995059215;1557995059141;904;2068;264;176;27966
51;1557995059408;1557995059321;942;2050;265;177;27966
52;1557995059716;1557995059685;955;2099;265;178;27966
53;1557995059911;1557995059865;919;2089;264;178;27966
54;1557995060210;1557995059865;919;2089;265;178;27966
55;1557995060410;1557995060238;879;2253;266;178;27966
