id;x;y;z;time
0x6733;1995;946;552;2019-05-16 10:24:06.577
0x6733;1981;961;0;2019-05-16 10:24:06.685
0x6733;2247;926;0;2019-05-16 10:24:07.057
0x6733;1997;955;0;2019-05-16 10:24:07.237
0x6733;1988;918;0;2019-05-16 10:24:07.609
0x6733;2236;938;0;2019-05-16 10:24:07.793
0x6733;2209;948;0;2019-05-16 10:24:07.974
0x6733;1977;925;0;2019-05-16 10:24:08.157
0x6733;2240;932;0;2019-05-16 10:24:08.342
0x6733;2113;958;0;2019-05-16 10:24:08.520
0x6733;1986;929;0;2019-05-16 10:24:08.700
0x6733;2232;942;0;2019-05-16 10:24:08.880
0x6733;2021;911;0;2019-05-16 10:24:09.060
0x6733;2227;950;0;2019-05-16 10:24:09.252
0x6733;2004;940;0;2019-05-16 10:24:09.432
0x6733;2000;958;0;2019-05-16 10:24:09.615
0x6733;2244;952;0;2019-05-16 10:24:09.987
0x6733;2212;1007;0;2019-05-16 10:24:10.168
0x6733;2206;960;0;2019-05-16 10:24:10.346
0x6733;2211;918;0;2019-05-16 10:24:10.716
0x6733;2242;929;0;2019-05-16 10:24:10.898
0x6733;1965;946;0;2019-05-16 10:24:11.079
0x6733;2198;965;0;2019-05-16 10:24:11.259
0x6733;2218;967;0;2019-05-16 10:24:11.439
0x6733;2180;973;0;2019-05-16 10:24:11.813
0x6733;1988;934;0;2019-05-16 10:24:11.993
0x6733;1999;985;0;2019-05-16 10:24:12.173
0x6733;2004;957;0;2019-05-16 10:24:12.357
0x6733;2217;962;0;2019-05-16 10:24:12.537
0x6733;2217;978;0;2019-05-16 10:24:12.908
0x6733;2012;960;0;2019-05-16 10:24:13.089
0x6733;1985;976;0;2019-05-16 10:24:13.461
0x6733;2214;918;0;2019-05-16 10:24:13.641
0x6733;2146;955;0;2019-05-16 10:24:13.822
0x6733;2067;941;0;2019-05-16 10:24:14.014
0x6733;2167;911;0;2019-05-16 10:24:14.194
0x6733;2209;909;0;2019-05-16 10:24:14.374
0x6733;2247;906;0;2019-05-16 10:24:14.567
0x6733;2029;912;0;2019-05-16 10:24:14.747
0x6733;2218;945;0;2019-05-16 10:24:14.927
0x6733;2246;920;0;2019-05-16 10:24:15.111
0x6733;2216;914;0;2019-05-16 10:24:15.292
0x6733;2234;931;0;2019-05-16 10:24:15.664
0x6733;2218;899;0;2019-05-16 10:24:15.843
0x6733;2040;904;0;2019-05-16 10:24:16.024
0x6733;2227;933;0;2019-05-16 10:24:16.204
0x6733;2032;936;0;2019-05-16 10:24:16.577
0x6733;2209;950;0;2019-05-16 10:24:16.756
0x6733;2218;959;0;2019-05-16 10:24:16.937
0x6733;2055;920;0;2019-05-16 10:24:17.309
0x6733;2164;974;0;2019-05-16 10:24:17.489
0x6733;2199;941;0;2019-05-16 10:24:17.680
0x6733;2064;915;0;2019-05-16 10:24:18.041
0x6733;2144;921;0;2019-05-16 10:24:18.221
0x6733;2055;897;0;2019-05-16 10:24:18.591
0x6733;2086;913;0;2019-05-16 10:24:18.771
0x6733;2241;880;0;2019-05-16 10:24:18.951
0x6733;2068;904;0;2019-05-16 10:24:19.141
0x6733;2050;942;0;2019-05-16 10:24:19.321
0x6733;2255;919;0;2019-05-16 10:24:19.503
0x6733;2099;955;0;2019-05-16 10:24:19.685
0x6733;2089;919;0;2019-05-16 10:24:19.865
0x6733;2253;879;0;2019-05-16 10:24:20.238
0x6733;2089;916;0;2019-05-16 10:24:20.417
0x6733;2101;910;0;2019-05-16 10:24:20.599
0x6733;2082;923;0;2019-05-16 10:24:20.791
0x6733;2230;968;0;2019-05-16 10:24:20.971
0x6733;2260;988;0;2019-05-16 10:24:21.151
0x6733;2231;925;0;2019-05-16 10:24:21.524
0x6733;2189;917;0;2019-05-16 10:24:21.703
0x6733;2235;943;0;2019-05-16 10:24:21.884
0x6733;2077;924;0;2019-05-16 10:24:22.064
0x6733;2081;909;0;2019-05-16 10:24:22.436
0x6733;2067;924;0;2019-05-16 10:24:22.615
0x6733;2231;922;0;2019-05-16 10:24:22.796
0x6733;2242;888;0;2019-05-16 10:24:22.978
0x6733;2236;960;0;2019-05-16 10:24:23.350
0x6733;2119;887;0;2019-05-16 10:24:23.531
0x6733;2161;878;0;2019-05-16 10:24:23.711
0x6733;2217;940;0;2019-05-16 10:24:24.083
0x6733;2057;929;0;2019-05-16 10:24:24.263
0x6733;2073;934;0;2019-05-16 10:24:24.443
0x6733;2237;939;0;2019-05-16 10:24:24.635
0x6733;2100;893;0;2019-05-16 10:24:24.815
0x6733;2226;918;0;2019-05-16 10:24:24.991
0x6733;2044;924;0;2019-05-16 10:24:25.182
0x6733;2068;935;0;2019-05-16 10:24:25.365
0x6733;2054;955;0;2019-05-16 10:24:25.545
0x6733;2255;913;0;2019-05-16 10:24:25.918
0x6733;2225;866;0;2019-05-16 10:24:26.099
0x6733;2097;933;0;2019-05-16 10:24:26.279
0x6733;2242;880;0;2019-05-16 10:24:26.459
0x6733;2072;890;0;2019-05-16 10:24:26.639
0x6733;2235;942;0;2019-05-16 10:24:26.823
0x6733;2157;983;0;2019-05-16 10:24:27.003
0x6733;2270;932;0;2019-05-16 10:24:27.183
0x6733;2228;910;0;2019-05-16 10:24:27.373
0x6733;2234;880;0;2019-05-16 10:24:27.553
0x6733;2090;915;0;2019-05-16 10:24:27.733
0x6733;2082;906;0;2019-05-16 10:24:27.916
0x6733;2112;878;0;2019-05-16 10:24:28.109
0x6733;2124;912;0;2019-05-16 10:24:28.289
0x6733;2054;923;0;2019-05-16 10:24:28.662
0x6733;2265;936;0;2019-05-16 10:24:28.842
0x6733;2230;874;0;2019-05-16 10:24:29.024
0x6733;2196;985;0;2019-05-16 10:24:29.387
0x6733;2323;1049;0;2019-05-16 10:24:29.760
0x6733;1780;969;0;2019-05-16 10:24:30.115
0x6733;1597;904;0;2019-05-16 10:24:30.489
0x6733;1629;859;0;2019-05-16 10:24:30.669
0x6733;1415;875;0;2019-05-16 10:24:30.849
0x6733;1451;793;0;2019-05-16 10:24:31.029
0x6733;1603;759;0;2019-05-16 10:24:31.221
0x6733;1312;871;0;2019-05-16 10:24:31.405
0x6733;1618;907;0;2019-05-16 10:24:31.585
0x6733;2154;1053;0;2019-05-16 10:24:31.957
0x6733;2213;947;0;2019-05-16 10:24:32.137
0x6733;2404;847;0;2019-05-16 10:24:32.317
0x6733;2374;895;0;2019-05-16 10:24:32.687
0x6733;2629;972;0;2019-05-16 10:24:32.868
0x6733;2616;890;0;2019-05-16 10:24:33.053
0x6733;2574;883;0;2019-05-16 10:24:33.233
0x6733;2454;880;0;2019-05-16 10:24:33.605
0x6733;2363;550;0;2019-05-16 10:24:33.785
0x6733;2481;857;0;2019-05-16 10:24:33.965
0x6733;2624;858;0;2019-05-16 10:24:34.147
0x6733;2234;998;0;2019-05-16 10:24:34.702
0x6733;2280;980;0;2019-05-16 10:24:34.882
0x6733;2312;1111;0;2019-05-16 10:24:35.065
0x6733;2293;1234;0;2019-05-16 10:24:35.431
0x6733;2240;1204;0;2019-05-16 10:24:35.612
0x6733;2144;1365;0;2019-05-16 10:24:35.984
0x6733;2171;1348;0;2019-05-16 10:24:36.164
0x6733;2250;1323;0;2019-05-16 10:24:36.344
0x6733;2203;1297;0;2019-05-16 10:24:36.715
0x6733;2239;1247;0;2019-05-16 10:24:36.897
0x6733;2401;1115;0;2019-05-16 10:24:37.077
0x6733;2257;928;0;2019-05-16 10:24:37.257
0x6733;2096;768;0;2019-05-16 10:24:37.629
0x6733;2132;594;0;2019-05-16 10:24:37.995
0x6733;2147;654;0;2019-05-16 10:24:38.357
0x6733;1999;753;0;2019-05-16 10:24:38.722
0x6733;1784;886;0;2019-05-16 10:24:38.902
