;time;id;x;y;height;cam
0;1557995040213;27966;266;186;1176;D8:80:39:D8:42:9E
1;1557995040213;27974;487;200;1210;D8:80:39:D8:42:9E
2;1557995040414;27966;267;186;1176;D8:80:39:D8:42:9E
3;1557995040414;27974;487;200;1210;D8:80:39:D8:42:9E
4;1557995040710;27966;267;185;1176;D8:80:39:D8:42:9E
5;1557995040710;27974;487;200;1210;D8:80:39:D8:42:9E
6;1557995040911;27966;268;185;1176;D8:80:39:D8:42:9E
7;1557995040911;27974;488;201;1202;D8:80:39:D8:42:9E
8;1557995041212;27966;268;185;1176;D8:80:39:D8:42:9E
9;1557995041212;27974;488;201;1202;D8:80:39:D8:42:9E
10;1557995041512;27966;268;184;1176;D8:80:39:D8:42:9E
11;1557995041512;27974;488;201;1202;D8:80:39:D8:42:9E
12;1557995041713;27966;267;185;1176;D8:80:39:D8:42:9E
13;1557995041713;27974;487;201;1202;D8:80:39:D8:42:9E
14;1557995041913;27966;267;185;1176;D8:80:39:D8:42:9E
15;1557995041913;27974;487;201;1202;D8:80:39:D8:42:9E
16;1557995042208;27966;267;185;1176;D8:80:39:D8:42:9E
17;1557995042208;27974;487;202;1209;D8:80:39:D8:42:9E
18;1557995042513;27966;268;185;1176;D8:80:39:D8:42:9E
19;1557995042513;27974;488;202;1202;D8:80:39:D8:42:9E
20;1557995042713;27966;268;185;1176;D8:80:39:D8:42:9E
21;1557995042713;27974;488;202;1202;D8:80:39:D8:42:9E
22;1557995042932;27966;268;185;1176;D8:80:39:D8:42:9E
23;1557995042932;27974;488;202;1202;D8:80:39:D8:42:9E
24;1557995043220;27966;267;184;1176;D8:80:39:D8:42:9E
25;1557995043220;27974;487;202;1217;D8:80:39:D8:42:9E
26;1557995043413;27966;267;184;1183;D8:80:39:D8:42:9E
27;1557995043413;27974;487;202;1217;D8:80:39:D8:42:9E
28;1557995043723;27966;267;184;1199;D8:80:39:D8:42:9E
29;1557995043723;27974;487;202;1202;D8:80:39:D8:42:9E
30;1557995043914;27966;265;183;1207;D8:80:39:D8:42:9E
31;1557995043914;27974;487;201;1202;D8:80:39:D8:42:9E
32;1557995044218;27966;264;182;1215;D8:80:39:D8:42:9E
33;1557995044218;27974;487;201;1202;D8:80:39:D8:42:9E
34;1557995044409;27966;263;181;1215;D8:80:39:D8:42:9E
35;1557995044409;27974;488;202;1202;D8:80:39:D8:42:9E
